Id,Date,Transaction
0,09/19,-766.94
1,08/26,+194.98
2,05/10,+740.53
3,08/28,-165.87
4,09/24,+171.25
5,01/10,+966.51
6,04/20,-230.11
7,10/29,-124.07
8,01/03,+766.85
9,11/13,-76.05
10,04/16,+556.0
11,11/28,+833.95
12,09/04,-590.23
13,02/17,+217.43
14,11/21,+449.61
15,02/05,+634.52
16,07/30,-818.64
17,01/05,+967.5
18,02/11,-403.32
19,08/13,+580.48
20,08/14,-220.81
21,09/11,-816.93
22,12/02,-592.97
23,09/22,+388.55
24,05/06,-589.46
25,01/01,-15.82
26,09/15,+431.99
27,02/22,+193.83
28,11/06,-865.2
29,07/31,-211.25
30,09/08,-938.25
31,01/01,+556.26
32,09/08,-57.47
33,08/30,+880.89
34,10/27,-939.24
35,12/24,-493.09
36,03/26,-63.81
37,11/03,-564.28
38,02/17,+406.47
39,09/08,-925.41
40,06/02,+15.0
41,01/05,+652.91
42,12/06,-313.76
43,11/26,-125.23
44,01/06,+764.08
45,07/30,-488.88
46,09/04,-499.1
47,09/01,+797.02
48,06/25,-783.26
49,12/07,+424.37
50,08/19,-294.51
51,05/27,-683.34
52,08/13,+642.81
53,06/14,+924.21
54,11/02,-836.27
55,10/19,-961.94
56,07/05,-34.44
57,10/22,+931.59
58,02/18,-215.52
59,01/21,+925.17
60,08/28,+428.93
61,10/03,-962.76
62,04/22,-809.72
63,10/25,-125.4
64,03/26,+564.68
65,11/20,+96.68
66,04/20,-965.59
67,02/21,-91.33
68,05/22,+808.3
69,08/24,+315.91
70,08/25,+694.36
71,01/24,+94.23
72,11/08,+402.1
73,05/10,-159.15
74,02/26,+275.06
75,08/08,-640.86
76,04/14,+524.84
77,05/04,+6.67
78,11/12,-295.05
79,03/19,-863.43
80,09/08,-453.01
81,09/22,+487.99
82,08/09,-616.13
83,12/16,-118.9
84,04/29,+665.26
85,12/29,+978.99
86,02/23,+894.22
87,10/30,-953.51
88,06/13,+836.2
89,04/02,+195.37
90,06/02,+995.28
91,04/18,-91.08
92,09/26,+571.9
93,06/25,+54.62
94,06/20,-44.23
95,12/08,+179.27
96,02/19,-445.77
97,06/08,-988.76
98,06/10,+37.41
99,01/01,+317.14
