Id,Date,Transaction
0,06/03,-645.52
1,05/23,+612.55
2,08/05,+716.62
3,09/12,-216.63
4,06/09,+686.53
5,08/21,+970.4
6,07/19,-241.35
7,02/07,-43.24
8,02/15,-797.34
9,04/27,-181.19
10,02/14,-462.39
11,01/18,-525.6
12,08/26,+869.05
13,07/18,-437.46
14,10/05,+127.42
15,06/15,+662.09
16,01/26,-849.51
17,11/23,-703.15
18,10/21,+655.66
19,05/04,-569.56
20,11/10,-497.94
21,11/20,+97.43
22,07/07,+194.67
23,03/01,+571.63
24,11/21,-242.51
25,04/05,-325.03
26,05/06,+444.46
27,06/24,-598.01
28,07/23,+363.24
29,04/03,+569.52
30,09/07,-3.51
31,09/15,+933.97
32,04/25,-895.92
33,02/16,-826.54
34,10/08,-362.87
35,01/09,-791.04
36,06/28,+415.38
37,06/11,+173.3
38,09/12,+929.15
39,01/23,-173.85
40,07/27,+340.1
41,01/22,+172.95
42,08/08,+324.48
43,07/15,+239.65
44,08/14,-878.1
45,07/25,-880.9
46,06/06,+835.42
47,05/31,-405.46
48,05/14,-375.79
49,09/11,+409.43
50,03/25,+44.51
51,08/20,-685.24
52,09/08,-145.2
53,09/11,+855.33
54,06/25,-308.27
55,04/01,-945.49
56,08/31,+983.91
57,09/18,+814.69
58,01/27,+351.2
59,01/12,+693.56
60,11/24,-741.72
61,08/26,-464.48
62,09/17,+586.03
63,03/23,-903.7
64,01/30,-703.6
65,04/09,-586.96
66,06/21,-868.68
67,09/21,-248.64
68,10/18,-71.77
69,09/05,+26.05
70,07/29,+879.48
71,09/13,-754.41
72,09/28,-511.6
73,03/23,-923.71
74,05/24,+25.83
75,08/26,+784.01
76,09/15,+834.7
77,08/12,-216.29
78,10/18,-194.4
79,04/20,+403.37
80,08/18,+624.06
81,11/11,+927.88
82,12/14,-987.21
83,05/25,-879.36
84,01/24,+826.48
85,05/31,-405.73
86,01/03,+913.0
87,12/26,-413.52
88,09/20,-588.2
89,07/20,+858.56
90,05/03,-803.32
91,09/13,+776.76
92,10/14,+304.43
93,12/18,+419.93
94,02/13,+613.61
95,10/31,+568.86
96,08/02,-187.43
97,03/27,+891.23
98,11/01,+73.51
99,03/14,-993.76
